# l                Dl(TT)           sigmaDl(TT)      Dl(EE)           sigmaDl(EE)      Dl(TE)           sigmaDl(TE)      BFCMB/cal(TT)    BFCMB/cal(EE)    BFCMB/cal(TE)    
  8.60015495e+02   2.35792893e+03   3.52692772e+01   1.54245314e+01   1.25162487e+00   1.37432814e+01   4.30495107e+00   2.32909905e+03   1.45547510e+01   1.55729602e+01
  8.69015334e+02   2.23963802e+03   3.39167664e+01   1.63790722e+01   1.30228406e+00   2.78549862e+01   4.32587177e+00   2.24659645e+03   1.61362180e+01   2.83839940e+01
  8.78015177e+02   2.17038823e+03   3.24485909e+01   1.75398469e+01   1.35850254e+00   4.13663843e+01   4.34534253e+00   2.15447594e+03   1.80874218e+01   3.92529511e+01
  8.87015023e+02   2.07581552e+03   3.08935812e+01   2.20842810e+01   1.41954389e+00   4.92368263e+01   4.35918596e+00   2.05491259e+03   2.03428979e+01   4.79012518e+01
  8.96014873e+02   1.95077122e+03   2.92804380e+01   2.43165822e+01   1.48448326e+00   5.50714941e+01   4.36357141e+00   1.95020507e+03   2.28295102e+01   5.41199290e+01
  9.05014725e+02   1.84531331e+03   2.76433644e+01   2.33030097e+01   1.55228295e+00   5.78602147e+01   4.35609627e+00   1.84292629e+03   2.54654097e+01   5.77959794e+01
  9.14014580e+02   1.74747390e+03   2.60167395e+01   2.91358543e+01   1.62182816e+00   6.76042712e+01   4.33568535e+00   1.73535411e+03   2.81631321e+01   5.88842571e+01
  9.23014438e+02   1.62114556e+03   2.44339553e+01   3.15037852e+01   1.69195196e+00   5.67359891e+01   4.30261767e+00   1.62990352e+03   3.08345375e+01   5.74366005e+01
  9.32014298e+02   1.56407397e+03   2.29264657e+01   3.54483251e+01   1.76144225e+00   5.44636958e+01   4.25848107e+00   1.52887318e+03   3.33926313e+01   5.35807682e+01
  9.41014162e+02   1.43914858e+03   2.15218104e+01   3.75252799e+01   1.82917382e+00   5.01837040e+01   4.20603428e+00   1.43427221e+03   3.57538763e+01   4.75210366e+01
  9.50014028e+02   1.34382388e+03   2.02409932e+01   3.70954635e+01   1.89420683e+00   4.13444787e+01   4.14885144e+00   1.34787382e+03   3.78409077e+01   3.95148317e+01
  9.59013896e+02   1.28716652e+03   1.91016865e+01   3.93848365e+01   1.95568982e+00   3.37971395e+01   4.09108378e+00   1.27098094e+03   3.95881384e+01   2.98802594e+01
  9.68013767e+02   1.23417406e+03   1.81187259e+01   4.03788244e+01   2.01286334e+00   2.09100717e+01   4.03715402e+00   1.20476398e+03   4.09419061e+01   1.89801963e+01
  9.77013640e+02   1.13032438e+03   1.73009961e+01   4.04820852e+01   2.06523228e+00   9.82217205e+00   3.99120420e+00   1.14976552e+03   4.18608712e+01   7.20638095e+00
  9.86013516e+02   1.10486242e+03   1.66506140e+01   3.86635998e+01   2.11260422e+00  -3.00123552e-01   3.95657257e+00   1.10643079e+03   4.23185742e+01  -5.03427830e+00
  9.95013394e+02   1.08857072e+03   1.61652833e+01   4.23174612e+01   2.15544127e+00  -1.47831120e+01   3.93647875e+00   1.07467434e+03   4.23074568e+01  -1.73402924e+01
  1.00401327e+03   1.02605240e+03   1.58386089e+01   4.01942989e+01   2.56790951e+00  -3.73931724e+01   4.28590730e+00   1.05417678e+03   4.18277565e+01  -2.93144626e+01
  1.01301316e+03   1.08070647e+03   1.56577364e+01   4.61747369e+01   2.60659280e+00  -4.52733986e+01   4.29106531e+00   1.04399484e+03   4.08991943e+01  -4.05801638e+01
  1.02201304e+03   1.03359754e+03   1.56053614e+01   4.30288261e+01   2.63962698e+00  -4.87268599e+01   4.30615981e+00   1.04336186e+03   3.95593287e+01  -5.08148918e+01
  1.03101293e+03   1.04196308e+03   1.56625233e+01   3.92665765e+01   2.66959981e+00  -5.47057579e+01   4.33189438e+00   1.05085637e+03   3.78524179e+01  -5.97194230e+01
  1.04001281e+03   1.05716230e+03   1.58087918e+01   3.65878545e+01   2.69749536e+00  -5.92205035e+01   4.36552250e+00   1.06498722e+03   3.58372849e+01  -6.70712732e+01
  1.04901270e+03   1.08321991e+03   1.60214747e+01   3.59169830e+01   2.72430166e+00  -7.35814594e+01   4.40400945e+00   1.08444039e+03   3.35805675e+01  -7.26873263e+01
  1.05801260e+03   1.13102932e+03   1.62774376e+01   3.70816645e+01   2.75102459e+00  -8.24022608e+01   4.44453112e+00   1.10733623e+03   3.11538607e+01  -7.64585999e+01
  1.06701249e+03   1.12363145e+03   1.65540518e+01   2.86611005e+01   2.77874529e+00  -8.10354594e+01   4.48489708e+00   1.13218851e+03   2.86369431e+01  -7.83432320e+01
  1.07601239e+03   1.15457915e+03   1.68299789e+01   2.52084120e+01   2.80850308e+00  -7.88316422e+01   4.52351788e+00   1.15734415e+03   2.61072000e+01  -7.83626979e+01
  1.08501228e+03   1.21901844e+03   1.70862061e+01   2.09671900e+01   2.84122386e+00  -7.34198327e+01   4.55941985e+00   1.18113895e+03   2.36422386e+01  -7.66060117e+01
  1.09401218e+03   1.21830326e+03   1.73058527e+01   2.60167882e+01   2.87773698e+00  -7.63534614e+01   4.59210262e+00   1.20227651e+03   2.13145890e+01  -7.32080828e+01
  1.10301208e+03   1.21278907e+03   1.74747415e+01   1.64665151e+01   2.91877793e+00  -5.63833326e+01   4.62148206e+00   1.21960308e+03   1.91943011e+01  -6.83629457e+01
  1.11201198e+03   1.21466825e+03   1.75815622e+01   1.57614065e+01   2.96495959e+00  -5.60455456e+01   4.64769814e+00   1.23203802e+03   1.73356015e+01  -6.22925176e+01
  1.12101189e+03   1.24760002e+03   1.76184652e+01   1.53783429e+01   3.01675754e+00  -4.86186484e+01   4.67102550e+00   1.23888530e+03   1.57894397e+01  -5.52702338e+01
  1.13001179e+03   1.23885181e+03   1.75816447e+01   1.56079485e+01   3.07451397e+00  -4.30321713e+01   4.69179717e+00   1.23960738e+03   1.45920903e+01  -4.75819226e+01
  1.13901170e+03   1.21715968e+03   1.74692453e+01   1.36489641e+01   3.13843815e+00  -4.77349187e+01   4.71010831e+00   1.23393861e+03   1.37684689e+01  -3.95287325e+01
  1.14801161e+03   1.21382169e+03   1.72771664e+01   1.36118655e+01   3.20861205e+00  -2.37048893e+01   4.72547319e+00   1.22180664e+03   1.33281847e+01  -3.14106144e+01
  1.15701152e+03   1.22190319e+03   1.70105867e+01   1.45080996e+01   3.28499780e+00  -1.56994357e+01   4.73775200e+00   1.20354858e+03   1.32715325e+01  -2.35204080e+01
  1.16601143e+03   1.16048871e+03   1.66763197e+01   9.19255770e+00   3.36742744e+00  -2.13371020e+01   4.74664057e+00   1.17954320e+03   1.35838447e+01  -1.61295058e+01
  1.17501134e+03   1.14448525e+03   1.62805430e+01   1.05813449e+01   3.45562440e+00  -1.36199378e+01   4.75155008e+00   1.15050200e+03   1.42379136e+01  -9.48336498e+00
  1.18401126e+03   1.13772787e+03   1.58331269e+01   1.28166792e+01   3.54920808e+00  -5.80572608e+00   4.75212806e+00   1.11715926e+03   1.51974360e+01  -3.79404927e+00
  1.19301117e+03   1.08738901e+03   1.53459180e+01   1.27690911e+01   3.64772017e+00  -2.25218091e+00   4.74820873e+00   1.08047181e+03   1.64149393e+01   7.68033437e-01
  1.20201109e+03   1.00638281e+03   1.51110334e+01   2.31637364e+01   3.75061937e+00   7.80662301e-01   4.73989417e+00   1.04138213e+03   1.78383092e+01   4.07607047e+00
  1.21101101e+03   9.76133809e+02   1.45600060e+01   2.13121529e+01   3.85731683e+00   6.31810841e+00   4.72761381e+00   1.00109185e+03   1.94082932e+01   6.05045320e+00
  1.22001092e+03   9.71684764e+02   1.40062297e+01   1.80255648e+01   3.96718406e+00   1.12888948e+01   4.71221342e+00   9.60563897e+02   2.10635467e+01   6.66715955e+00
  1.22901084e+03   9.07431611e+02   1.34653699e+01   2.41352121e+01   4.07958910e+00   7.88539924e-01   4.69497863e+00   9.20752729e+02   2.27391259e+01   5.94563809e+00
  1.23801077e+03   8.96365526e+02   1.29503093e+01   2.70171228e+01   4.19391113e+00  -1.71168762e+00   4.67760189e+00   8.82923620e+02   2.43736690e+01   3.95275293e+00
  1.24701069e+03   8.60886801e+02   1.24728135e+01   2.89556443e+01   4.30956927e+00   6.50138194e+00   4.66208654e+00   8.47752437e+02   2.59083146e+01   7.94133085e-01
  1.25601061e+03   8.06388458e+02   1.20427297e+01   2.82823460e+01   4.42603828e+00  -5.08591988e+00   4.65054694e+00   8.15988477e+02   2.72889670e+01  -3.38684810e+00
  1.26501054e+03   7.78229630e+02   1.16680001e+01   3.21486244e+01   4.54287327e+00  -1.06411310e+01   4.64509148e+00   7.88301400e+02   2.84677446e+01  -8.41457751e+00
